Sutra krama सू. क्र. सं,Akaaraadi krama अकारादि क्र. सं,Kaumudi krama कौमुदी क्र. सं,Sutra type सूत्रलक्षणम्‌,Term संज्ञा,Sutra text सूत्रम्‌,PadacCheda पद्च्छेदः
32161,2645,3141,,,भञ्जभासमिदो घुरच् ।,भञ्जभासमिदः ५/१ घुरच् १/१
32162,3163,3142,,,विदिभिदिच्छिदेः कुरच् ।,विदिभिदिच्छिदेः ५/१ कुरच् १/१
32163,627,3143,,,इण्नश्जिसर्त्तिभ्यः क्वरप्‌ ।,इण्नश्जिसर्त्तिभ्यः ५/३ क्वरप् १/१
32164,1267,3144,,,गत्वरश्च ।,गत्वरः १/१ च ०/०
32165,1498,3145,,,जागुरूकः ।,जागुः १/१ ऊकः १/१
32166,2812,3146,,,यजजपदशां यङः ।,यजजपदशाम् ६/३ यङः ५/१
32167,2122,3147,,,नमिकम्पिस्म्यजसकमहिंसदीपो रः ।,नमिकम्पिस्म्यजसकमहिंसदीपः ५/१ रः १/१
32168,3590,3148,,,सनाशंसभिक्ष उः ।,सनाशंसभिक्षः ५/१ उः १/१
32169,3173,3149,,,विन्दुरिच्छुः ।,विन्दुः १/१ इच्छुः १/१
32170,1197,3150,,,क्याच्छन्दसि ।,क्यात् ५/१ छन्दसि ७/१
32171,527,3151,,,आदृगमहनजनः किकिनौ लिट् च ।,आदृगमहनजनः ५/१ किकिनौ १/२ लिट् १/१ च ०/०
32172,3868,3152,,,स्वपितृषोर्नजिङ् ।,स्वपितृषोः ६/२ नजिङ् १/१
32173,3423,3153,,,शॄवन्द्योरारुः ।,शॄवन्द्योः ६/२ आरुः १/१
32174,2672,3154,,,भियः क्रुक्लुकनौ ।,भियः ५/१ क्रुक्लुकनौ १/२
32175,3840,3155,,,स्थेशभासपिसकसो वरच् ।,स्थेशभासपिसकसः ५/१ वरच् १/१
32176,2843,3156,,,यश्च यङः ।,यः ५/१ च ०/० यङः ५/१
32177,2705,3157,,,भ्राजभासधुर्विद्युतोर्जिपॄजुग्रावस्तुवः क्विप्‌ ।,भ्राजभासधुर्विद्युतोर्जिपॄजुग्रावस्तुवः ५/१ क्विप् १/१
32178,262,3158,,,अन्येभ्योऽपि दृश्यते ।,अन्येभ्यः ५/३ अपि ०/० दृश्यते (क्रियापदम्)
32179,2684,3159,,,भुवः संज्ञाऽन्तरयोः ।,भुवः ५/१ संज्ञाऽन्तरयोः ७/२
32180,3179,3160,,,विप्रसम्भ्यो ड्वसंज्ञायाम् ।,विप्रसम्भ्यः ५/३ डु १/१ असंज्ञायाम् ७/१
32181,1986,3161,,,धः कर्मणि ष्ट्रन् ।,धः ६/१ कर्मणि ७/१ ष्ट्रन् १/१
32182,1850,3162,,,दाम्नीशसयुयुजस्तुतुदसिसिचमिहपतदशनहः करणे ।,दाम्नीशसयुयुजस्तुतुदसिसिचमिहपतदशनहः ५/१ करणे ७/१
