Sutra krama सू. क्र. सं,Akaaraadi krama अकारादि क्र. सं,Kaumudi krama कौमुदी क्र. सं,Sutra type सूत्रलक्षणम्‌,Term संज्ञा,Sutra text सूत्रम्‌,PadacCheda पद्च्छेदः
,,,,,,
11001,3288,16,संज्ञा,वृद्धिः,वृद्धिरादैच् ।,वृद्धिः १/१ आदैच् १/१
11002,134,17,संज्ञा,गुणः,अदेङ् गुणः ।,अदेङ् १/१ गुणः १/१
11003,595,34,परिभाषा,,इको गुणवृद्धी ।,इकः ६/१ गुणवृद्धी १/२
11004,2034,2656,,,न धातुलोप आर्धधातुके ।,न ०/० धातुलोपे ७/१ आर्धधातुके ७/१
11005,1335,2217,,,ग्क्ङिति च ।,क्क्ङिति ७/१ च ०/०
11006,1876,2190,,,दीधीवेवीटाम् ।,दीधीवेवीटाम् ६/३
11007,3926,30,संज्ञा,संयोगः,हलोऽनन्तराः संयोगः ।,हलः १/३ अनन्तराः १/३ संयोगः१/१
11008,2787,9,संज्ञा,अनुनासिकः,मुखनासिकावचनोऽनुनासिकः ।,मुखनासिकावचनः १/१ अनुनासिकः १/१
11009,1759,10,संज्ञा,सवर्णम्‌,तुल्यास्यप्रयत्नं सवर्णम् ।,तुल्यास्यप्रयत्नं १/१ सवर्णम् १/१
11010,2141,13,संज्ञा,सवर्णम्‌,नाज्झलौ ।,न् ०/० अज्झलौ १/१२
11011,683,100,संज्ञा,प्रगृह्यम्‌,ईदूदेद्द्विवचनं प्रगृह्यम् ।,ईदूदेद् १/१ द्विवचनं १/१ प्रगृह्यम् १/१
11012,129,101,संज्ञा,प्रगृह्यम्‌,अदसो मात् ।,अदसः ६/१ मात् ५/१
11013,3424,102,संज्ञा,प्रगृह्यम्‌,शे ।,शे (लुप्तप्रथमान्तो निर्देशः)
11014,2190,103,संज्ञा,प्रगृह्यम्‌,निपात एकाजनाङ् ।,निपातः १/१ एकाच् १/१ अनाङ् १/१
11015,936,104,संज्ञा,प्रगृह्यम्‌,ओत् ।,ओत् १/१
11016,3665,105,संज्ञा,प्रगृह्यम्‌,सम्बुद्धौ शाकल्यस्येतावनार्षे ।,सम्बुद्धौ ७/१ शाकल्यस्य ६/१ इतौ ७/१ अनार्षे ७/१
11017,702,106,संज्ञा,प्रगृह्यम्‌,उञः ।,उञः ६/१
11018,829,107,संज्ञा,प्रगृह्यम्‌,ऊँ ।,ऊँ (लुप्तविभक्तिकम्)
11019,682,109,संज्ञा,प्रगृह्यम्‌,ईदूतौ च सप्तम्यर्थे ।,ईदूतौ १/२ च ०/० सप्तम्यर्थे ७/१
11020,1845,2373,संज्ञा,घुः,दाधा घ्वदाप् ।,दाधा १/३ घु १/१ अदाप् १/१
11021,532,348,परिभाषा,,आद्यन्तवदेकस्मिन् ।,आद्यन्तवत् ०/० एकस्मिन् ७/१
11022,1674,2003,संज्ञा,घः,तरप्तमपौ घः ।,तरप्तमपौ १/२ घः १/१
11023,2583,258,संज्ञा,संख्या,बहुगणवतुडति संख्या ।,बहुगणवतुडति १/१ संख्या १/१
11024,3500,369,संज्ञा,षट्‌,ष्णान्ता षट् ।,ष्णान्ता १/१ षट् १/१
11025,1569,259,संज्ञा,षट्‌,डति च ।,डति १/१ च ०/०
11026,1177,3012,संज्ञा,निष्ठा,क्तक्तवतू निष्ठा ।,क्तक्तवतू १/२ निष्ठा १/१
11027,3690,213,संज्ञा,सर्वनाम,सर्वादीनि सर्वनामानि ।,सर्वादीनि १/३ सर्वनामानि १/३
11028,3206,292,संज्ञा,सर्वनाम,विभाषा दिक्समासे बहुव्रीहौ ।,विभाषा १/१ दिक्समासे ७/१ बहुव्रीहौ ७/१
11029,2045,222,संज्ञा,सर्वनाम,न बहुव्रीहौ ।,न ०/० बहुव्रीहौ ७/१
11030,1775,223,संज्ञा,सर्वनाम,तृतीयासमासे ।,तृतीयासमासे ७/१
11031,1941,224,संज्ञा,सर्वनाम,द्वन्द्वे च ।,द्वन्द्वे ७/१ च ०/०
11032,3202,225,संज्ञा,सर्वनाम,विभाषा जसि ।,विभाषा १/१ जसि ७/१
11033,2484,226,संज्ञा,सर्वनाम,प्रथमचरमतयाल्पार्धकतिपयनेमाश्च ।,प्रथमचरमतयाल्पार्धकतिपयनेमाः १/३ च ०/०
11034,2421,218,संज्ञा,सर्वनाम,पूर्वपरावरदक्षिणोत्तरापराधराणि,पूर्वपरावरदक्षिणोत्तरापराधराणि १/३ व्यवस्थायाम् ७/१ असंज्ञायाम् ७/१
11035,3871,219,संज्ञा,सर्वनाम,स्वमज्ञातिधनाख्यायाम् ।,स्वम् १/१ अज्ञातिधनाख्यायाम् ७/१
11036,240,220,संज्ञा,सर्वनाम,अन्तरं बहिर्योगोपसंव्यानयोः ।,अन्तरं १/१ बहिर्योगोपसंव्यानयोः ७/२
11037,3875,447,संज्ञा,अव्ययम्‌,स्वरादिनिपातमव्ययम् ।,स्वरादिनिपातम् १/१ अव्ययम् १/१
11038,1648,448,संज्ञा,अव्ययम्‌,तद्धितश्चासर्वविभक्तिः ।,तद्धितः १/१ च च ०/० असर्वविभक्तिः १/१
11039,1155,449,संज्ञा,अव्ययम्‌,कृन्मेजन्तः ।,कृत् १/१ मेजन्तः १/१
11040,1190,450,संज्ञा,अव्ययम्‌,क्त्वातोसुन्कसुनः ।,क्त्वातोसुन्कसुनः १/३
11041,405,451,संज्ञा,अव्ययम्‌,अव्ययीभावश्च ।,अव्ययीभावः १/१ च ०/०
11042,3393,313,संज्ञा,सर्वनामस्थानम्,शि सर्वनामस्थानम् ।,शि १/१ सर्वनामस्थानम् १/१
11043,3753,229,संज्ञा,सर्वनामस्थानम्,सुडनपुंसकस्य ।,सुट् १/१ अनपुंसकस्य ६/१
11044,2069,24,संज्ञा,विभाषा,न वेति विभाषा ।,न ०/० वा ०/० इति ०/० विभाषा १/१
11045,604,328,संज्ञा,सम्प्रसारणम्,इग्यणः सम्प्रसारणम् ।,इक् १/१ यणः ६/१ सम्प्रसारणम् १/१
11046,533,36,परिभाषा,,आद्यन्तौ टकितौ ।,आद्यन्तौ १/२ टकितौ १/२
11047,2781,37,परिभाषा,,मिदचोऽन्त्यात्परः ।,मित् १/१ अचः ६/१ अन्त्यात् ५/१ परः १/१
11048,903,323,परिभाषा,,एच इग्घ्रस्वादेशे ।,एचः ६/१ इक् १/१ ह्रस्वादेशे ७/१
11049,3487,38,परिभाषा,,षष्ठी स्थानेयोगा ।,षष्ठी १/१ स्थानेयोगा १/१
11050,3835,39,परिभाषा,,स्थानेऽन्तरतमः ।,स्थाने ७/१ अन्तरतमः १/१
11051,818,70,परिभाषा,,उरण् रपरः ।,उः ६/१ अण् १/१ रपरः १/१
11052,369,42,परिभाषा,,अलोऽन्त्यस्य ।,अलः ६/१ अन्त्यस्य ६/१
11053,1372,43,परिभाषा,,ङिच्च ।,ङित् १/१ च ०/०
11054,528,44,परिभाषा,,आदेः परस्य ।,आदेः ६/१ परस्य ६/१
11055,226,45,परिभाषा,,अनेकाल्शित्सर्वस्य ।,अनेकाल्शित् १/१ सर्वस्य ६/१
11056,3834,49,अतिदेशः,,स्थानिवदादेशोऽनल्विधौ ।,स्थानिवत् ०/० आदेशः १/१ अनल्विधौ ७/१
11057,44,50,अतिदेशः,,अचः परस्मिन् पूर्वविधौ ।,अचः ६/१ परस्मिन् ७/१ (निमित्त-सप्तमी) पूर्वविधौ ७/१ (विषय-सप्तमी)
11058,2040,51,अतिदेशः,,न पदान्तद्विर्वचनवरेयलोपस्वरसवर्णानुस्वारदीर्घजश्चर्विधिषु ।,न ०/० पदान्तद्विर्वचनवरेयलोपस्वरसवर्णानुस्वारदीर्घजश्चर्विधिषु ७/३
11059,1968,2243,अतिदेशः,,द्विर्वचनेऽचि ।,द्विर्वचने ७/१ अचि ७/१
11060,127,53,संज्ञा,लोपः,अदर्शनं लोपः ।,अदर्शनं १/१ लोपः १/१
11061,2480,260,संज्ञा,लुक्‌ श्लु लुप्,प्रत्ययस्य लुक्‌श्लुलुपः ।,प्रत्ययस्य ६/१ लुक्‌श्लुलुपः १/३
11062,2478,262,परिभाषा,,प्रत्ययलोपे प्रत्ययलक्षणम् ।,प्रत्ययलोपे ७/१ प्रत्ययलक्षणम् १/१
11063,2063,263,परिभाषा,,न लुमताऽङ्गस्य ।,न ०/० लुमता ३/१ अङ्गस्य ६/१
11064,57,79,संज्ञा,टि,अचोऽन्त्यादि टि ।,अचः ६/१ (निर्धारणे षष्ठी) अन्त्यादि १/१ टि १/१
11065,370,249,संज्ञा,उपधा,अलोऽन्त्यात् पूर्व उपधा ।,अलः ५/१ अन्त्यात् ५/१ पूर्वः १/१ उपधा १/१
11066,1689,40,परिभाषा,,तस्मिन्निति निर्दिष्टे पूर्वस्य ।,तस्मिन् ७/१ इति ०/० निर्दिष्टे ७/१ पूर्वस्य ६/१
11067,1685,41,परिभाषा,,तस्मादित्युत्तरस्य ।,तस्मात् ५/१ इति ०/० उत्तरस्य ६/१
11068,3862,25,,,स्वं रूपं शब्दस्याशब्दसंज्ञा ।,स्वम् १/१ रूपम् १/१ शब्दस्य ६/१ अशब्दसंज्ञा १/१
11069,87,14,,,अणुदित् सवर्णस्य चाप्रत्ययः ।,अणुदित् १/१ सवर्णस्य ६/१ च ०/० अप्रत्ययः १/१
11070,1665,15,,,तपरस्तत्कालस्य ।,तपरः १/१ तत्कालस्य ६/१
11071,522,2,संज्ञा,प्रत्याहारः,आदिरन्त्येन सहेता ।,आदिः १/१ अन्त्येन ३/१ सह ०/० इता ३/१
11072,2890,26,संज्ञा,प्रत्याहारः,येन विधिस्तदन्तस्य ।,येन ३/१ विधिः १/१ तदन्तस्य ६/१
11073,3290,1335,संज्ञा,वृद्ध‌म्‌,वृद्धिर्यस्याचामादिस्तद् वृद्धम् ।,वृद्धिः १/१ यस्य ६/१ अचाम् ६/३ (निर्धारणे षष्ठी) आदिः १/१ तत् १/१ वृद्धम् १/१
11074,1799,1336,संज्ञा,वृद्ध‌म्‌,त्यदादीनि च ।,त्यदादीनि १/३ च ०/०
11075,901,1338,संज्ञा,वृद्ध‌म्‌,एङ् प्राचां देशे ।,एङ् १/१ प्राचाम् ६/३ देशे ७/१
12001,1286,2461,अतिदेशः,,गाङ्कुटादिभ्योऽञ्णिन्ङ् इत् ।,गाङ्-कुटादिभ्यः ५/३ अञ्णित् १/१ ङित् १/१
12002,3158,2536,अतिदेशः,,विज इट् ।,विजः ५/१ इट् १/१
12003,3256,2447,अतिदेशः,,विभाषोर्णोः ।,विभाषा १/१ ऊर्णोः ५/१
12004,3722,2234,अतिदेशः,,सार्वधातुकमपित् ।,सार्वधातुकम् १/१ अपित् १/१
12005,429,2242,अतिदेशः,,असंयोगाल्लिट् कित् ।,असंयोगात् ५/१ लिट् १/१ कित् १/१
12006,685,3393,अतिदेशः,,ईन्धिभवतिभ्यां च ।,ईन्धिभवतिभ्यां ५/२ च ०/०
12007,2795,3323,अतिदेशः,,मृडमृदगुधकुषक्लिशवदवसः क्त्वा ।,मृडमृदगुधकुषक्लिशवदवसः ५/१ क्त्वा १/१
12008,2944,2609,अतिदेशः,,रुदविदमुषग्रहिस्वपिप्रच्छः सँश्च ।,रुदविदमुषग्रहिस्वपिप्रच्छः ५/१ सन् १/१ च ०/०
12009,596,2612,अतिदेशः,,इको झल् ।,इकः ५/१ झल् १/१
12010,3913,2613,अतिदेशः,,हलन्ताच्च ।,हलन्तात् ५/१ च ०/०
12011,2988,2300,अतिदेशः,,लिङ्सिचावात्मनेपदेषु ।,लिङ्-सिचौ १/२ आत्मनेपदेषु ७/३
12012,823,2368,अतिदेशः,,उश्च ।,उः ५/१ च ०/०
12013,3101,2700,अतिदेशः,,वा गमः ।,वा ०/० गमः ५/१
12014,3897,2697,अतिदेशः,,हनः सिच् ।,हनः ५/१ सिच् १/१
12015,2839,2698,अतिदेशः,,यमो गन्धने ।,यमः ५/१ गन्धने ७/१
12016,3254,2730,अतिदेशः,,विभाषोपयमने ।,विभाषा १/१ उपयमने ७/२
12017,3829,2389,अतिदेशः,,स्था घ्वोरिच्च ।,स्था-घ्वोः ६/२ इत् १/१ च ०/०
12018,2017,3322,अतिदेशः,,न क्त्वा सेट् ।,न ०/० क्त्वा (लुप्तविभक्तिनिर्देशः) सेट् १/१
12019,2208,3052,अतिदेशः,,निष्ठा शीङ्स्विदिमिदिक्ष्विदिधृषः ।,निष्ठा १/१ शीङ्-स्विदिमिदिक्ष्विदिधृषः ५/१
12020,2797,3055,अतिदेशः,,मृषस्तितिक्षायाम् ।,मृषः ५/१ तितिक्षायाम् ७/१
12021,746,3056,अतिदेशः,,उदुपधाद्भावादिकर्मणोरन्यतरस्याम् ।,उदुपधात् ५/१ भावादिकर्मणोः ७/२ अन्यतरस्याम् ०/०
12022,2406,3051,अतिदेशः,,पूङः क्त्वा च ।,पूङः ५/१ क्त्वा (लुप्तविभक्तः) च ०/०
12023,2243,3324,अतिदेशः,,नोपधात्थफान्ताद्वा ।,नोपधात् ५/१ थफान्तात् ५/१ वा ०/०
12024,3044,3325,अतिदेशः,,वञ्चिलुञ्च्यृतश्च ।,वञ्चिलुञ्च्यृतः ५/१ च ०/०
12025,1777,3326,अतिदेशः,,तृषिमृषिकृशेः काश्यपस्य ।,तृषिमृषिकृशेः ५/१ काश्यपस्य ६/१
12026,2911,2617,अतिदेशः,,रलो व्युपधाद्धलादेः संश्च ।,रलः ५/१ व्युपधाद्त् ५/१ हलादेः ५/१ सन् १/१ च ०/०
12027,830,4,संज्ञा,ह्रस्वः दीर्घः प्लुतः,ऊकालोऽज्झ्रस्वदीर्घप्लुतः ।,ऊकालः १/१ अच् १/१ ह्रस्वदीर्घप्लुतः १/१
12028,46,35,परिभाषा,,अचश्च ।,अचः ६/१ च ०/०
12029,700,5,संज्ञा,उदात्तः,उच्चैरुदात्तः ।,उच्चैः ०/० उदात्तः १/१
12030,2217,6,संज्ञा,अनुदात्तः,नीचैरनुदात्तः ।,नीचैः ०/० अनुदात्तः १/१
12031,3645,7,संज्ञा,स्वरितः,समाहारः स्वरितः ।,समाहारः १/१ स्वरितः १/१
12032,1706,8,,,तस्यादित उदात्तमर्धह्रस्वम् ।,तस्य ६/१ आदितः ०/० उदात्तम् १/१ अर्धह्रस्वम् १/१
12033,885,3662,,,एकश्रुति दूरात् सम्बुद्धौ ।,एकश्रुति १/१ दूरात् ५/१ सम्बुद्धौ ७/१
12034,2819,3663,,,यज्ञकर्मण्यजपन्यूङ्खसामसु ।,यज्ञकर्मणि ७/१ अयजपन्यूङ्खसामसु ७/३
12035,701,3664,,,उच्चैस्तरां वा वषट्कारः ।,"""उच्चैस्तराम् ०/० वा ०/० वषट्कारः १/१ उच्चैः (इत्यनेन उदात्तो गृह्यते "
12036,3199,3665,,,विभाषा छन्दसि ।,विभाषा १/१ छन्दसि ७/१
12037,2080,3666,,,न सुब्रह्मण्यायां स्वरितस्य तूदात्तः ।,न ०/० सुब्रह्मण्यायाम् ७/१ स्वरितस्य ६/१ तु ०/० उदात्तः १/१
12038,1913,3667,,,देवब्रह्मणोरनुदात्तः ।,देवब्रह्मणोः ७/२ अनुदात्तः १/१
12039,3878,3668,,,स्वरितात् संहितायामनुदात्तानाम् ।,स्वरितात् ५/१ संहितायाम् ७/१ अनुदात्तानाम् ६/३
12040,734,3669,,,उदात्तस्वरितपरस्य सन्नतरः ।,उदात्तस्वरितपरस्य ६/१ सन्नतरः १/१
12041,295,251,संज्ञा,अपृक्तः,अपृक्त एकाल् प्रत्ययः ।,अपृक्तः १/१ एकाल् १/१ प्रत्ययः १/१
12042,1602,745,संज्ञा,कर्मधारयः,तत्पुरुषः समानाधिकरणः कर्मधारयः ।,तत्पुरुषः १/१ समानाधिकरणः १/१ कर्मधारयः १/१
12043,2486,653,संज्ञा,उपसर्जनम्‌,प्रथमानिर्दिष्टं समास उपसर्जनम् ।,प्रथमानिर्दिष्टम् १/१ समासे ७/१ उपसर्जनम् १/१
12044,883,655,संज्ञा,उपसर्जनम्‌,एकविभक्ति चापूर्वनिपाते ।,एकविभक्ति १/१ च ०/० आपूर्वनिपाते ७/१
12045,350,178,संज्ञा,प्रातिपदिकम्‌,अर्थवदधातुरप्रत्ययः प्रातिपदिकम् ।,अर्थवत् १/१ अधातुः १/१ अप्रत्ययः १/१ प्रातिपदिकम् १/१॥ अर्थोऽस्यास्तीत्यर्थवत् तदस्या० (५.२.९४) इति मतुप्-प्रत्ययः॥
12046,1142,179,संज्ञा,प्रातिपदिकम्‌,कृत्तद्धितसमासाश्च ।,कृत्तद्धितसमासाः १/३ च ०/०
12047,3978,318,,,ह्रस्वो नपुंसके प्रातिपदिकस्य ।,ह्रस्वः १/१ नपुंसके ७/१ प्रातिपदिकस्य ६/१
12048,1333,656,,,गोस्त्रियोरुपसर्ज्जनस्य ।,गोस्त्रियोः ६/१ उपसर्जनस्य ६/१
12049,3003,1408,,,लुक् तद्धितलुकि ।,लुक् १/१ तद्धितलुकि ७/१
12050,650,1703,,,इद्गोण्याः ।,इत् १/१ गोण्याः ६/१
12051,3013,1294,अतिदेशः,,लुपि युक्तवद्व्यक्तिवचने ।,लुपि ७/१ युक्तवत् ०/० व्यक्तिवचने १/२
12052,3266,1300,अतिदेशः,,विशेषणानां चाजातेः ।,विशेषणानाम् ६/३ च ०/० आ ०/० जातेः ५/१
12053,1629,1295,,,तदशिष्यं संज्ञाप्रमाणत्वात् ।,तत् १/१ अशिष्यम् १/१ संज्ञाप्रमाणत्वात् ५/१
12054,3016,1296,,,लुब्योगाप्रख्यानात् ।,लुप् १/१ योगाप्रख्यानात् ५/१
12055,2894,1297,,,योगप्रमाणे च तदभावेऽदर्शनं स्यात् ।,योगप्रमाणे ७/१ च ०/० तदभावे ७/१ अदर्शनम् १/१ स्यात् तिङन्तपदम्
12056,2489,1298,,,प्रधानप्रत्ययार्थवचनमर्थस्यान्यप्रमाणत्वात् ।,प्रधानप्रत्ययार्थवचनम् १/१ अर्थस्य ६/१ अन्यप्रमाणत्वात् ५/१
12057,1071,1299,,,कालोपसर्जने च तुल्यम् ।,कालोपसर्जने १/२ च ०/० तुल्यम् १/१
12058,1508,817,,,जात्याख्यायामेकस्मिन् बहुवचनमन्यतरस्याम् ।,जात्याख्यायाम् ७/१ एकस्मिन् ७/१ बहुवचनम् १/१ अन्यतरस्याम् ०/०
12059,440,818,,,अस्मदो द्वायोश्च ।,अस्मदः ६/१ द्वायोः ७/२ च ०/०
12060,2573,819,,,फल्गुनीप्रोष्ठपदानां च नक्षत्रे ।,फल्गुनीप्रोष्ठपदानाम् ६/३ च ०/० नक्षत्रे ७/१
12061,1450,3387,,,छन्दसि पुनर्वस्वोरेकवचनम् ।,छन्दसि ७/१ पुनर्वस्वोः ६/२ एकवचनम् १/१
12062,3261,3388,,,विशाखयोश्च ।,विशाखयोः ६/२ च ०/०
12063,1740,820,,,तिष्यपुनर्वस्वोर्नक्षत्रद्वंद्वे बहुवचनस्य,तिष्यपुनर्वस्वोः ६/२ नक्षत्रद्वंद्वे ७/१ बहुवचनस्य ६/१ द्विवचनम् १/१ नित्यम् १/१
12064,3671,188,,,सरूपाणामेकशेष एकविभक्तौ ।,सरूपाणाम् ६/३ एकशेषः १/१ एकविभक्तौ ७/१
12065,3292,931,,,वृद्धो यूना तल्लक्षणश्चेदेव विशेषः ।,वृद्धः १/१ यूना ३/१ तल्लक्षणः १/१ चेत् ०/० एव ०/० विशेषः १/१
12066,3823,932,अतिदेशः,,स्त्री पुंवच्च ।,स्त्री १/१ पुंवत् ०/० च ०/०
12067,2389,933,,,पुमान् स्त्रिया ।,पुमान् १/१ स्त्रिया ३/१
12068,2709,934,,,भ्रातृपुत्रौ स्वसृदुहितृभ्याम् ।,भ्रातृपुत्रौ १/२ स्वसृदुहितृभ्याम् ३/२
12069,2114,935,,,नपुंसकमनपुंसकेनैकवच्चास्यान्यतरस्याम् ।,नपुंसकम् १/१ अनपुंसकेन ३/१ एकवत् ०/० च ०/० अस्य ६/१ अन्यतरस्याम् ०/०
12070,2372,936,,,पिता मात्रा ।,पिता १/१ मात्रा ३/१
12071,3465,937,,,श्वशुरः श्वश्र्वा ।,श्वशुरः १/१ श्वश्र्वा ३/१
12072,1800,938,,,त्यदादीनि सर्वैर्नित्यम् ।,त्यदादीनि १/३ सर्वौः ३/३ नित्यम् १/१
12073,1348,939,,,ग्राम्यपशुसंघेषु अतरुणेषु स्त्री ।,ग्राम्यपशुसंघेषु ७/३ अतरुणेषु १/१ स्त्री १/१॥ ग्रामे भवा ग्राम्याः ग्रामाद्यखञौ (४.२.९३) इत्यनेन यत् प्रत्ययः॥
13001,2694,18,संज्ञा,धातुः,भूवादयो धातवः ।,भूवादयः १/३ धातवः १/३
13002,759,3,संज्ञा,इत्‌,उपदेशेऽजनुनासिक इत् ।,उपदेशे ७/१ अच् १/१ अनुनासिकः १/१ इत् १/१
13003,3914,1,संज्ञा,इत्‌,हलन्त्यम् ।,हल् १/१ अन्त्यम् १/१॥ अन्ते भवमन्त्यं दिगादित्वात् (४.३।५४) यत् प्रत्ययः॥
13004,2067,190,संज्ञा,इत्‌,न विभक्तौ तुस्माः ।,न ०/० विभक्तौ ७/१ तुस्माः १/३
13005,524,2289,संज्ञा,इत्‌,आदिर्ञिटुडवः ।,आदिः १/१ ञिटुडवः १/३
13006,3470,474,संज्ञा,इत्‌,षः प्रत्ययस्य ।,षः १/१ प्रत्ययस्य ६/१
13007,1425,189,संज्ञा,इत्‌,चुटू ।,चुटू १/२
13008,2974,195,संज्ञा,इत्‌,लशक्वतद्धिते ।,लशकु १/१ अतद्धिते ७/१
13009,1701,62,संज्ञा,इत्‌,तस्य लोपः ।,तस्य ६/१ लोपः १/१
13010,2832,128,परिभाषा,,यथासंख्यमनुदेशः समानाम् ।,यथासंख्यम् ०/० अनुदेशः १/१ समानाम् ६/३
13011,3879,46,परिभाषा,,स्वरितेनाधिकारः ।,स्वरितेन ३/१ अधिकारः १/१
13012,196,2157,,,अनुदात्तङित आत्मनेपदम् ।,अनुदात्तङितः ५/१ आत्मनेपदम् १/१
13013,2660,2679,,,भावकर्म्मणोः ।,भावकर्म्मणोः ७/२
13014,1004,2680,,,कर्त्तरि कर्म्मव्यतिहारे ।,कर्त्तरि ७/१ कर्म्मव्यतिहारे ७/१
13015,2020,2681,,,न गतिहिंसार्थेभ्यः ।,न ०/० गतिहिंसार्थेभ्यः ५/३
13016,630,2682,,,इतरेतरान्योन्योपपदाच्च ।,इतरेतरान्योन्योपपदात् ५/१ च ०/०
13017,2236,2683,,,नेर्विशः ।,नेः ५/१ विशः ५/१
13018,2320,2684,,,परिव्यवेभ्यः क्रियः ।,परिव्यवेभ्यः ५/३ क्रियः ५/१
13019,3175,2685,,,विपराभ्यां जेः ।,विपराभ्याम् ५/२ जेः ५/१
13020,477,2686,,,आङो दोऽनास्यविहरणे ।,आङः ५/१ दः ५/१ अनास्यविहरणे ७/१
13021,1210,2687,,,क्रीडोऽनुसम्परिभ्यश्च ।,क्रीडः ५/१ अनुसम्परिभ्यः ५/३ च ०/०
13022,3627,2689,,,समवप्रविभ्यः स्थः ।,समवप्रविभ्यः ५/३ स्थः ५/१
13023,2447,2690,,,प्रकाशनस्थेयाख्ययोश्च ।,प्रकाशनस्थेयाख्ययोः ७/२ च ०/०
13024,747,2691,,,उदोऽनूर्द्ध्वकर्मणि ।,उदः ५/१ अनूर्ध्वकर्मणि ७/१
13025,804,2692,,,उपान्मन्त्रकरणे ।,उपात् ५/१ मन्त्रकरणे ७/१
13026,10,2693,,,अकर्मकाच्च ।,अकर्मकात् ५/१ च ०/०
13027,751,2694,,,उद्विभ्यां तपः ।,उद्विभ्याम् ५/२ तपः ५/१
13028,479,2695,,,आङो यमहनः ।,आङः ५/१ यमहनः ५/१
13029,3656,2699,,,समो गम्यृच्छिप्रच्छिस्वरत्यर्तिश्रुविदिभ्यः ।,समः ५/१ गम्यृच्छि-प्रच्छि-स्वरत्यर्ति-श्रुविदिभ्यः ५/३
13030,2214,2703,,,निसमुपविभ्यो ह्वः ।,निसमुपविभ्यः ५/३ ह्वः ५/१
13031,3844,2704,,,स्पर्द्धायामाङः ।,स्पर्द्धायाम् ७/१ आङः ५/१
13032,1270,2705,,,गन्धनावक्षेपणसेवनसाहसिक्यप्रतियत्नप्रकथनोपयोगेषु कृञः ।,गन्धनावक्षेपणसेवनसाहसिक्य-प्रतियत्नप्रकथनोपयोगेषु ७/३ कृञः ५/१
13033,156,2706,,,अधेः प्रसहने ।,अधेः ५/१ प्रसहने ७/१
13034,3299,2707,,,वेः शब्दकर्म्मणः ।,वेः ५/१ शब्दकर्म्मणः ५/१
13035,11,2708,,,अकर्मकाच्च ।,अकर्मकात् ५/१ च ०/०
13036,3670,2709,,,सम्माननोत्सञ्जनाचार्यकरणज्ञानभृतिविगणनव्ययेषु नियः ।,सम्माननोत्सञ्जनाचार्यकरणज्ञानभृतिविगणनव्ययेषु ७/३ नियः ५/१
13037,1003,2710,,,कर्तृस्थे चाशरीरे कर्मणि ।,कर्तृस्थे ७/१ च ०/० अशरीरे ७/१ कर्मणि ७/१
13038,3280,2711,,,वृत्तिसर्गतायनेषु क्रमः ।,वृत्तिसर्गतायनेषु ७/३ क्रमः ५/१
13039,764,2712,,,उपपराभ्याम् ।,उपपराभ्याम् ५/२
13040,473,2713,,,आङ उद्गमने ।,आङः ५/१ उद्गमने ७/१
13041,3298,2714,,,वेः पादविहरणे ।,वेः ५/१ पादविहरणे ७/१
13042,2564,2715,,,प्रोपाभ्यां समर्थाभ्याम् ।,प्रोपाभ्याम् ५/२ समर्थाभ्याम् ५/२
13043,212,2716,,,अनुपसर्गाद्वा ।,अनुपसर्गात् ५/१ वा ०/०
13044,286,2717,,,अपह्नवे ज्ञः ।,अपह्नवे ७/१ ज्ञः ५/१
13045,12,2718,,,अकर्मकाच्च ।,अकर्मकात् ५/१ च ०/०
13046,3660,2719,,,सम्प्रतिभ्यामनाध्याने ।,सम्प्रतिभ्याम् ५/२ अनाध्याने ७/१
13047,2667,2720,,,भासनोपसम्भाषाज्ञानयत्नविमत्युपमन्त्रणेषु वदः ।,भासनोपसम्भाषाज्ञानयत्नविमत्युपमन्त्रणेषु ७/३ वदः ५/१
13048,3320,2721,,,व्यक्तवाचां समुच्चारणे ।,व्यक्तवाचाम् ६/३ समुच्चारणे ७/१
13049,231,2722,,,अनोरकर्मकात् ।,अनोः ५/१ अकर्मकात् ५/१
13050,3223,2723,,,विभाषा विप्रलापे ।,विभाषा १/१ विप्रलापे ७/१
13051,388,2724,,,अवाद्ग्रः ।,अवात् ५/१ ग्रः ५/१
13052,3620,2725,,,समः प्रतिज्ञाने ।,समः ५/१ प्रतिज्ञाने ७/१
13053,731,2726,,,उदश्चरः सकर्मकात् ।,उदः ५/१ चरः ५/१ सकर्मकात् ५/१
13054,3630,2727,,,समस्तृतीयायुक्तात् ।,समः ५/१ तृतीयायुक्तात् ५/१
13055,1841,2728,,,दाणश्च सा चेच्चतुर्थ्यर्थे ।,दाणः ५/१ च ०/० सा १/१ चेत् ०/० चतुर्थ्यर्थे ७/१
13056,802,2729,,,उपाद्यमः स्वकरणे ।,उपात् ५/१ यमः ५/१ स्वकरणे ७/१
13057,1530,2731,,,ज्ञाश्रुस्मृदृशां सनः ।,ज्ञाश्रुस्मृदृशाम् ६/३ सनः ५/१
13058,2151,2732,,,नानोर्ज्ञः ।,न ०/० अनोः ५/१ ज्ञः ५/१
13059,2481,2733,,,प्रत्याङ्भ्यां श्रुवः ।,प्रत्याङ्भ्याम् ५/२ श्रुवः ५/१
13060,3356,2362,,,शदेः शितः ।,शदेः ५/१ शितः ६/१
